;DAY_DATE;ISIN;TRADING_CURRENCY_CODE;SUM(NUMBER_OF_TRADES);SUM(TURNOVER_CHF)
504337;2010-08-30;CH0012255151;CHF;1306;24270723.4
2428852;2010-08-31;CH0012255151;CHF;2762;69952876.3
5067336;2010-09-01;CH0012255151;CHF;3253;82803820.3
5313365;2010-09-02;CH0012255151;CHF;3049;57411420.2
2995792;2010-09-03;CH0012255151;CHF;2200;52629312.3
5313367;2010-09-06;CH0012255151;CHF;1877;38881490.7
5905420;2010-09-07;CH0012255151;CHF;2223;43015397.4
923380;2010-09-08;CH0012255151;CHF;3656;76410341.7
1812295;2010-09-09;CH0012255151;CHF;4002;71605044.9
5042306;2010-09-10;CH0012255151;CHF;3435;78752465.7
4721795;2010-09-13;CH0012255151;CHF;3007;50125441.4
3268059;2010-09-14;CH0012255151;CHF;2711;55608468.5
6028753;2010-09-15;CH0012255151;CHF;1913;37988769.9
2897345;2010-09-16;CH0012255151;CHF;2618;48371135.1
1244493;2010-09-17;CH0012255151;CHF;4009;101439427.9
3292615;2010-09-20;CH0012255151;CHF;4166;83624732.6
1984323;2010-09-21;CH0012255151;CHF;4894;94074909.6
4820491;2010-09-22;CH0012255151;CHF;4341;75733809.7
3070313;2010-09-23;CH0012255151;CHF;4603;88066502.4
1392408;2010-09-24;CH0012255151;CHF;3262;61305784.6
1935566;2010-09-27;CH0012255151;CHF;2598;45453235.4
1096489;2010-09-28;CH0012255151;CHF;3483;67158897.1
1145669;2010-09-29;CH0012255151;CHF;3557;52893871.1
3957575;2010-09-30;CH0012255151;CHF;5972;139721836.2
5559762;2010-10-01;CH0012255151;CHF;6020;127835685.3
3637981;2010-10-04;CH0012255151;CHF;3574;61985650.7
528773;2010-10-05;CH0012255151;CHF;2635;52078099.7
997214;2010-10-06;CH0012255151;CHF;3902;68336210.8
2675815;2010-10-07;CH0012255151;CHF;2739;46369218.9
2280697;2010-10-08;CH0012255151;CHF;3098;68449562.0
3366294;2010-10-11;CH0012255151;CHF;2487;50799028.0
2799094;2010-10-12;CH0012255151;CHF;3014;66143128.5
5214514;2010-10-13;CH0012255151;CHF;3696;74375662.4
2749651;2010-10-14;CH0012255151;CHF;4180;69526772.8
3490082;2010-10-15;CH0012255151;CHF;2862;56810778.4
5017365;2010-10-18;CH0012255151;CHF;1972;40297866.9
4622615;2010-10-19;CH0012255151;CHF;3618;59208242.8
627243;2010-10-20;CH0012255151;CHF;2148;39694310.5
4105588;2010-10-21;CH0012255151;CHF;5124;108184776.7
4597790;2010-10-22;CH0012255151;CHF;2660;47578846.7
874039;2010-10-25;CH0012255151;CHF;2953;54332060.9
332201;2010-10-26;CH0012255151;CHF;2897;54055146.7
4523648;2010-10-27;CH0012255151;CHF;2540;44120764.0
3218341;2010-10-28;CH0012255151;CHF;2112;35029099.4
4228871;2010-10-29;CH0012255151;CHF;2615;39562471.0
5190015;2010-11-01;CH0012255151;CHF;1968;38404532.4
3687215;2010-11-02;CH0012255151;CHF;4142;91230657.2
6102808;2010-11-03;CH0012255151;CHF;4101;67858410.7
3809965;2010-11-04;CH0012255151;CHF;3469;84972128.5
1762945;2010-11-05;CH0012255151;CHF;3194;67886625.6
578276;2010-11-08;CH0012255151;CHF;2596;50055827.5
4006961;2010-11-09;CH0012255151;CHF;3606;69182395.3
5017369;2010-11-10;CH0012255151;CHF;3640;68451550.2
5954647;2010-11-11;CH0012255151;CHF;3806;67731484.8
5337889;2010-11-12;CH0012255151;CHF;4790;114044983.7
4105596;2010-11-15;CH0012255151;CHF;2926;53622277.1
5165340;2010-11-16;CH0012255151;CHF;2696;55915332.5
5387302;2010-11-17;CH0012255151;CHF;3550;59213211.3
4425401;2010-11-18;CH0012255151;CHF;3775;73521232.8
405791;2010-11-19;CH0012255151;CHF;2532;51793560.9
3144160;2010-11-22;CH0012255151;CHF;2242;36697526.2
726219;2010-11-23;CH0012255151;CHF;3681;67428190.5
4573346;2010-11-24;CH0012255151;CHF;5382;89461088.6
3957580;2010-11-25;CH0012255151;CHF;2071;48361482.5
2551955;2010-11-26;CH0012255151;CHF;2696;52431318.1
1959814;2010-11-29;CH0012255151;CHF;3218;53482044.5
110330;2010-11-30;CH0012255151;CHF;3908;74264804.7
874047;2010-12-01;CH0012255151;CHF;4052;73154417.1
3637992;2010-12-02;CH0012255151;CHF;3981;78958497.1
4597797;2010-12-03;CH0012255151;CHF;2652;52392796.0
800522;2010-12-06;CH0012255151;CHF;2213;44546478.9
4771230;2010-12-07;CH0012255151;CHF;6291;156014469.5
3687222;2010-12-08;CH0012255151;CHF;3533;72970770.8
2995806;2010-12-09;CH0012255151;CHF;4102;86954143.4
6264094;2010-12-10;CH0012255151;CHF;3195;69987020.1
5979368;2010-12-13;CH0012255151;CHF;3318;70947801.1
3760939;2010-12-14;CH0012255151;CHF;2694;54647907.4
5337897;2010-12-15;CH0012255151;CHF;3108;58511519.2
6152359;2010-12-16;CH0012255151;CHF;2885;55934979.2
3539251;2010-12-17;CH0012255151;CHF;3213;93611145.5
2058638;2010-12-20;CH0012255151;CHF;2498;43324512.7
5288548;2010-12-21;CH0012255151;CHF;3352;82015428.5
4943457;2010-12-22;CH0012255151;CHF;2488;56440586.3
1121026;2010-12-23;CH0012255151;CHF;1495;32362314.5
4376545;2010-12-27;CH0012255151;CHF;1179;28280815.7
2058641;2010-12-28;CH0012255151;CHF;947;20889949.3
6127548;2010-12-29;CH0012255151;CHF;949;15076265.0
61018;2010-12-30;CH0012255151;CHF;2006;31940318.6
5017379;2011-01-03;CH0012255151;CHF;1856;38074463.1
5214526;2011-01-04;CH0012255151;CHF;6860;143288747.9
2551959;2011-01-05;CH0012255151;CHF;5052;101235143.4
2576926;2011-01-06;CH0012255151;CHF;3247;50167933.7
3094874;2011-01-07;CH0012255151;CHF;3291;52228434.2
332218;2011-01-10;CH0012255151;CHF;3949;57301951.4
3883497;2011-01-11;CH0012255151;CHF;6214;105820125.7
5781840;2011-01-12;CH0012255151;CHF;4412;62745466.4
3933159;2011-01-13;CH0012255151;CHF;3187;54480975.7
1984336;2011-01-14;CH0012255151;CHF;3942;78691834.7
6053353;2011-01-17;CH0012255151;CHF;4700;82264926.5
332219;2011-01-18;CH0012255151;CHF;4132;75808761.8
4622630;2011-01-19;CH0012255151;CHF;14656;314331048.0
4869584;2011-01-20;CH0012255151;CHF;8617;179788437.5
5313388;2011-01-21;CH0012255151;CHF;5929;137337890.2
5239268;2011-01-24;CH0012255151;CHF;6447;126221191.6
863927;2011-01-25;CH0012255151;CHF;5610;104033612.3
4415156;2011-01-26;CH0012255151;CHF;4443;76941233.6
2443424;2011-01-27;CH0012255151;CHF;3871;68067011.7
4834782;2011-01-28;CH0012255151;CHF;3426;57689456.4
4933128;2011-01-31;CH0012255151;CHF;4911;96856108.2
2394262;2011-02-01;CH0012255151;CHF;4401;67706421.6
3479670;2011-02-02;CH0012255151;CHF;3045;57292171.2
5426310;2011-02-03;CH0012255151;CHF;4428;86568367.4
5944436;2011-02-04;CH0012255151;CHF;3665;80904375.8
444440;2011-02-07;CH0012255151;CHF;3401;83771943.6
2838231;2011-02-08;CH0012255151;CHF;9725;214694560.2
5920006;2011-02-09;CH0012255151;CHF;6261;123361982.8
3133993;2011-02-10;CH0012255151;CHF;4931;91716257.8
518517;2011-02-11;CH0012255151;CHF;4821;78071092.7
